date,close
2018-05-17,76000
2018-05-18,76300
2018-05-21,75000
2018-05-22,71900
2018-05-23,70000
2018-05-24,65100
2018-05-25,61200
2018-05-28,57000
2018-05-29,53200
2018-05-30,56800
2018-05-31,60700
2018-06-01,61000
2018-06-04,62000
2018-06-05,62700
2018-06-06,61900
2018-06-07,61600
2018-06-08,61000
2018-06-11,65200
2018-06-12,64800
2018-06-13,62000
2018-06-14,61000
2018-06-15,56800
2018-06-18,55000
2018-06-19,51200
2018-06-20,49900
2018-06-21,46500
2018-06-22,43250
2018-06-25,46250
2018-06-26,46000
2018-06-27,42950
2018-06-28,43100
2018-06-29,43000
2018-07-02,40300
2018-07-03,40100
2018-07-04,40200
2018-07-05,40600
2018-07-06,41000
2018-07-09,41400
2018-07-10,41650
2018-07-11,40500
2018-07-12,41300
2018-07-13,44150
2018-07-16,44700
2018-07-17,44900
2018-07-18,44000
2018-07-19,44000
2018-07-20,41100
2018-07-23,43100
2018-07-24,44550
2018-07-25,43000
2018-07-26,42550
2018-07-27,42500
2018-07-30,42500
2018-07-31,42600
2018-08-01,42550
2018-08-02,42000
2018-08-03,41950
2018-08-06,41500
2018-08-07,41450
2018-08-08,41300
2018-08-09,41000
2018-08-10,41500
2018-08-13,42950
2018-08-14,43950
2018-08-15,42900
2018-08-16,42000
2018-08-17,41850
2018-08-20,41750
2018-08-21,41450
2018-08-22,42900
2018-08-23,42700
2018-08-24,41900
2018-08-27,41500
2018-08-28,43000
2018-08-29,41550
2018-08-30,41200
2018-08-31,41200
2018-09-04,40000
2018-09-05,40650
2018-09-06,40000
2018-09-07,40250
2018-09-10,40000
2018-09-11,40250
2018-09-12,40250
2018-09-13,40200
2018-09-14,40000
2018-09-17,40000
2018-09-18,40050
2018-09-19,40050
2018-09-20,40000
2018-09-21,40000
2018-09-24,40500
2018-09-25,40700
2018-09-26,40500
2018-09-27,40450
2018-09-28,40300
2018-10-01,40300
2018-10-02,40150
2018-10-03,40100
2018-10-04,40000
2018-10-05,40000
2018-10-08,40000
2018-10-09,40000
2018-10-10,40300
2018-10-11,40000
2018-10-12,39950
2018-10-15,40000
2018-10-16,40000
2018-10-17,38500
2018-10-18,38700
2018-10-19,38600
2018-10-22,38550
2018-10-23,37950
2018-10-24,37500
2018-10-25,37500
2018-10-26,37450
2018-10-29,37200
2018-10-30,37200
2018-10-31,38150
2018-11-01,37900
2018-11-02,38850
2018-11-05,38950
2018-11-06,38550
2018-11-07,38000
2018-11-08,37700
2018-11-09,37100
2018-11-12,37050
2018-11-13,36900
2018-11-14,36850
2018-11-15,36800
2018-11-16,36600
2018-11-19,36600
2018-11-20,36550
2018-11-21,36500
2018-11-22,36450
2018-11-23,36250
2018-11-26,36200
2018-11-27,36150
2018-11-28,36150
2018-11-29,36100
2018-11-30,36000
2018-12-03,36000
2018-12-04,36100
2018-12-05,36100
2018-12-06,36050
2018-12-07,37800
2018-12-10,37500
2018-12-11,37000
2018-12-12,36850
2018-12-13,36700
2018-12-14,36400
2018-12-17,35950
2018-12-18,35500
2018-12-19,36500
2018-12-20,36800
2018-12-21,39000
2018-12-24,41700
2018-12-25,42000
2018-12-26,39300
2018-12-27,36750
2018-12-28,38700
2019-01-02,36900
2019-01-03,36500
2019-01-04,36000
2019-01-07,36000
2019-01-08,35900
2019-01-09,36000
2019-01-10,35900
2019-01-11,35800
2019-01-14,35700
2019-01-15,35450
2019-01-16,35600
2019-01-17,35550
2019-01-18,35400
2019-01-21,35350
2019-01-22,35250
2019-01-23,35150
2019-01-24,35000
2019-01-25,34600
2019-01-28,33900
2019-01-29,32400
2019-01-30,31200
2019-01-31,31450
2019-02-01,31650
2019-02-11,33650
2019-02-12,33700
2019-02-13,33700
2019-02-14,33700
2019-02-15,33650
2019-02-18,33500
2019-02-19,34800
2019-02-20,34800
2019-02-21,34950
2019-02-22,34950
2019-02-25,35500
2019-02-26,35700
2019-02-27,35700
2019-02-28,34650
2019-03-01,34150
2019-03-04,34050
2019-03-05,33750
2019-03-06,33750
2019-03-07,33500
2019-03-08,33000
2019-03-11,32650
2019-03-12,33400
2019-03-13,33500
2019-03-14,33350
2019-03-15,33000
2019-03-18,33100
2019-03-19,32950
2019-03-20,32550
2019-03-21,32850
2019-03-22,32400
2019-03-25,32400
2019-03-26,32550
2019-03-27,32550
2019-03-28,32600
2019-03-29,32000
2019-04-01,32150
2019-04-02,31950
2019-04-03,31700
2019-04-04,31500
2019-04-05,31650
2019-04-08,31450
2019-04-09,31300
2019-04-10,32100
2019-04-11,31450
2019-04-12,31500
2019-04-16,31500
2019-04-17,31450
2019-04-18,31300
2019-04-19,31500
2019-04-22,31000
2019-04-23,31200
2019-04-24,31000
2019-04-25,30950
2019-04-26,30850
2019-05-02,30650
2019-05-03,30600
2019-05-06,30500
2019-05-07,30350
2019-05-08,30400
2019-05-09,30300
2019-05-10,30100
2019-05-13,32000
2019-05-14,34000
2019-05-15,32600
2019-05-16,32650
2019-05-17,34800
2019-05-20,33500
2019-05-21,32450
2019-05-22,31600
2019-05-23,30000
2019-05-24,30000
2019-05-27,30400
2019-05-28,30400
2019-05-29,30000
2019-05-30,29950
2019-05-31,29950
2019-06-03,29800
2019-06-04,30000
2019-06-05,30100
2019-06-06,30050
2019-06-07,30000
2019-06-10,31000
2019-06-11,30650
2019-06-12,30100
2019-06-13,30100
2019-06-14,30700
2019-06-17,30150
2019-06-18,30400
2019-06-19,30250
2019-06-20,30300
2019-06-21,30000
2019-06-24,30000
2019-06-25,30000
2019-06-26,29950
2019-06-27,29900
2019-06-28,29800
2019-07-01,29750
2019-07-02,29400
2019-07-03,29400
2019-07-04,29800
2019-07-05,29350
2019-07-08,29400
2019-07-09,29250
